County,2022 Registered Motor Vehicles,2022 Registered Passenger Vehicles,"2022 Registered Passenger Vehicles, Percent",2022 Registered Trucks,"2022 Registered Trucks, Percent",2022 Registered Trailers,"2022 Registered Trailers, Percent",2022 Registered Motorcycles,"2022 Registered Motorcycles, Percent",2022 Registered Buses,"2022 Registered Buses, Percent",2022 Registered Other Vehicles,"2022 Registered Other Vehicles, Percent","2017-2021 Occupied Housing Units, No Vehicles Available, Percent","2017-2021 Occupied Housing Units, One Vehicle Available, Percent","2017-2021 Occupied Housing Units, Two Vehicles Available, Percent","2017-2021 Occupied Housing Units, Three Vehicles Available, Percent","2017-2021 Occupied Housing Units, Four Vehicles Available, Percent","2017-2021 Occupied Housing Units, Five or More Vehicles Available, Percent"
UNION,"40,747","19,057",46.8%,"11,000",27.0%,"8,837",21.7%,"1,765",4.3%,87,0.2%,1,0.0%,5.0%,31.0%,38.8%,14.3%,5.8%,5.1%
UPSON,"33,491","17,501",52.3%,"8,538",25.5%,"6,564",19.6%,755,2.3%,133,0.4%,0,0.0%,12.3%,28.9%,31.9%,17.6%,6.3%,3.0%
WALKER,"70,234","38,745",55.2%,"19,447",27.7%,"9,687",13.8%,"2,141",3.0%,214,0.3%,0,0.0%,5.0%,29.4%,35.4%,19.6%,6.5%,4.1%
WALTON,"124,436","67,449",54.2%,"30,591",24.6%,"23,076",18.5%,"3,001",2.4%,318,0.3%,1,0.0%,3.0%,21.8%,39.0%,22.8%,10.0%,3.5%
WARE,"36,384","18,273",50.2%,"9,767",26.8%,"7,566",20.8%,592,1.6%,186,0.5%,0,0.0%,10.0%,38.1%,36.5%,11.3%,3.5%,0.7%
WARREN,"7,199","3,642",50.6%,"2,105",29.2%,"1,309",18.2%,95,1.3%,48,0.7%,0,0.0%,10.4%,34.1%,34.4%,12.7%,5.7%,2.7%
WASHINGTON,"26,170","11,771",45.0%,"7,752",29.6%,"6,259",23.9%,287,1.1%,101,0.4%,0,0.0%,8.2%,33.1%,35.3%,15.9%,5.8%,1.7%
WAYNE,"34,041","15,764",46.3%,"9,864",29.0%,"7,635",22.4%,675,2.0%,103,0.3%,0,0.0%,7.8%,32.6%,37.3%,14.2%,5.0%,3.0%
WEBSTER,"3,500","1,476",42.2%,"1,072",30.6%,886,25.3%,49,1.4%,17,0.5%,0,0.0%,4.0%,39.9%,23.4%,25.9%,4.5%,2.3%
WHEELER,"6,883","2,547",37.0%,"2,201",32.0%,"2,017",29.3%,72,1.0%,46,0.7%,0,0.0%,12.1%,39.1%,33.0%,8.7%,5.6%,1.5%
WHITE,"41,194","19,840",48.2%,"11,400",27.7%,"8,524",20.7%,"1,305",3.2%,125,0.3%,0,0.0%,2.9%,27.1%,39.8%,17.2%,8.2%,4.9%
WHITFIELD,"112,334","62,610",55.7%,"28,262",25.2%,"18,746",16.7%,"2,353",2.1%,363,0.3%,0,0.0%,5.8%,30.6%,36.9%,17.2%,6.9%,2.5%
WILCOX,"9,129","3,825",41.9%,"2,894",31.7%,"2,212",24.2%,111,1.2%,87,1.0%,0,0.0%,6.5%,38.1%,36.8%,13.6%,3.3%,1.8%
WILKES,"13,892","6,261",45.1%,"4,222",30.4%,"3,125",22.5%,216,1.6%,68,0.5%,0,0.0%,5.4%,38.5%,30.5%,17.3%,7.2%,1.2%
WILKINSON,"13,848","6,002",43.3%,"4,420",31.9%,"3,163",22.8%,200,1.4%,62,0.4%,1,0.0%,6.2%,35.6%,35.8%,15.3%,4.3%,2.7%
WORTH,"26,355","11,499",43.6%,"7,685",29.2%,"6,610",25.1%,485,1.8%,76,0.3%,0,0.0%,6.4%,26.0%,39.4%,18.5%,6.0%,3.7%
GEORGIA,"10,472,184","6,667,271",63.7%,"2,203,744",21.0%,"1,348,378",12.9%,"214,794",2.1%,"37,967",0.4%,30,0.0%,6.1%,32.2%,38.0%,15.9%,5.5%,2.3%
,,,,,,,,,,,,,,,,,,,
"Sources: Georgia Department of Revenue, Motor Vehicle Division, County Registration Statistics",,,,,,,,,,,,,,,,,,,
"U.S. Census Bureau, American Community Survey 5-Yr. Estimates, ""Tenure by Vehicles Available (B25044)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Notes: Passenger Vehicles category includes ambulance, convertible, coupe, hearse, jeep, limousine, mixer, motor home, multi-purpose vehicle, roadster, station wagon, touring car, van, 2 door, 3 door, 4 door. Trucks category includes truck tractor, truck, wrecker. Trailers category includes boat trailer, camper, cattle/horse trailer, trailer, travel trailer, utility trailer. Others category includes special mobile equipment, vehicle body style recorded incorrectly or vehicle body style registered in error.",,,,,,,,,,,,,,,,,,,

